medium,transaction_date,amount,description
system engine,2/12/2016,$5230.63,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
pricing structure,12/9/2015,$52355.00,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
Multi-layered,11/27/2015,$60959.27,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
neural-net,6/11/2016,$30457.99,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
pricing structure,3/17/2016,$17122.32,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
Optional,8/19/2016,$56735.01,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
De-engineered,2/29/2016,$53577.03,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam
matrices,10/19/2015,$5269.04,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
leverage,12/16/2015,$79604.57,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at
Versatile,2/25/2016,$45365.67,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
pricing structure,7/22/2016,$38693.32,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices
optimal,9/10/2015,$51475.94,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
capability,2/21/2016,$90475.71,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
content-based,11/21/2015,$89761.85,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
empowering,11/5/2015,$9366.12,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
Universal,2/1/2016,$95847.06,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
bifurcated,9/23/2015,$10305.03,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
Adaptive,3/17/2016,$3609.94,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
portal,10/5/2015,$48509.06,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
approach,9/9/2016,$21302.66,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
Face to face,2/21/2016,$6083.81,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
Multi-layered,9/3/2016,$16694.11,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
software,5/31/2016,$13299.60,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque
web-enabled,5/22/2016,$72766.40,morbi vel lectus in quam fringilla rhoncus mauris enim leo
intangible,10/9/2015,$46703.64,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
middleware,2/7/2016,$85181.04,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus
moderator,12/15/2015,$51000.45,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
systemic,12/2/2015,$19137.69,duis ac nibh fusce lacus purus aliquet at feugiat non pretium
Down-sized,4/30/2016,$72918.73,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
Total,1/4/2016,$6849.39,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
didactic,1/29/2016,$45910.87,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
Graphic Interface,12/10/2015,$28253.29,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam
core,2/28/2016,$85420.49,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat
structure,12/20/2015,$76803.41,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
matrix,10/23/2015,$51717.47,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
moratorium,8/22/2016,$69650.08,sed vestibulum sit amet cursus id turpis integer aliquet massa id
full-range,9/29/2015,$8300.27,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
Automated,2/17/2016,$2287.38,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
eco-centric,1/9/2016,$22172.66,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
Graphic Interface,9/10/2015,$71020.88,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
Enhanced,4/26/2016,$41474.57,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
Ameliorated,4/6/2016,$27724.06,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est
zero defect,8/12/2016,$60209.93,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
Multi-layered,2/14/2016,$32277.53,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
User-centric,5/14/2016,$22602.38,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
internet solution,11/9/2015,$21453.84,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
Centralized,10/9/2015,$33199.63,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
directional,1/9/2016,$2534.40,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
uniform,11/22/2015,$15977.49,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
exuding,3/28/2016,$36598.92,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
De-engineered,4/8/2016,$7107.61,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
Reactive,7/23/2016,$89649.02,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
support,4/22/2016,$67020.51,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
utilisation,2/19/2016,$61482.69,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
regional,6/14/2016,$96562.42,nibh in lectus pellentesque at nulla suspendisse potenti cras in
analyzing,12/11/2015,$24689.80,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
archive,10/21/2015,$30145.26,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
capacity,6/27/2016,$76239.06,sapien non mi integer ac neque duis bibendum morbi non
Persevering,12/2/2015,$99883.64,et magnis dis parturient montes nascetur ridiculus mus etiam vel
flexibility,7/14/2016,$41590.31,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
website,4/18/2016,$53168.74,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl
Assimilated,7/16/2016,$4073.84,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
full-range,6/5/2016,$43904.08,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
demand-driven,6/29/2016,$4855.55,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
Object-based,12/22/2015,$10186.72,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
time-frame,1/16/2016,$96889.91,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
internet solution,1/14/2016,$39834.03,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
leverage,6/27/2016,$43339.60,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
human-resource,1/21/2016,$83942.24,integer non velit donec diam neque vestibulum eget vulputate ut
bandwidth-monitored,9/7/2016,$57035.14,eget nunc donec quis orci eget orci vehicula condimentum curabitur in
solution-oriented,2/4/2016,$96607.14,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
encoding,2/25/2016,$41847.54,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
Synchronised,6/16/2016,$90501.79,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
Visionary,6/22/2016,$20013.57,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
Right-sized,8/12/2016,$88922.19,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
Distributed,2/20/2016,$41468.46,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
Persistent,12/6/2015,$20371.65,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
contextually-based,8/6/2016,$52961.75,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
extranet,1/12/2016,$32059.85,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
concept,8/23/2016,$76421.77,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
forecast,3/6/2016,$86703.80,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
stable,6/9/2016,$58322.48,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
Horizontal,5/14/2016,$8120.86,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
Cloned,10/19/2015,$50652.14,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
Multi-tiered,4/29/2016,$52103.70,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
moderator,3/1/2016,$91504.78,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
actuating,9/23/2015,$12970.20,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
website,10/1/2015,$52741.78,in felis donec semper sapien a libero nam dui proin leo odio porttitor id
extranet,1/16/2016,$79501.31,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
logistical,11/7/2015,$10860.58,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc
help-desk,6/13/2016,$39104.44,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi
clear-thinking,11/21/2015,$88134.09,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
human-resource,2/8/2016,$151.24,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
Networked,10/14/2015,$5072.42,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
Multi-tiered,4/3/2016,$74616.00,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
Vision-oriented,10/23/2015,$63875.40,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
methodical,3/19/2016,$28858.43,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
heuristic,8/31/2016,$70761.92,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
internet solution,12/9/2015,$54365.97,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
superstructure,4/20/2016,$80527.09,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros
stable,2/24/2016,$73565.12,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
Self-enabling,1/5/2016,$72367.88,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
dedicated,10/28/2015,$94390.75,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh
strategy,11/24/2015,$25338.24,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
encoding,6/12/2016,$45993.11,sollicitudin mi sit amet lobortis sapien sapien non mi integer
Distributed,11/20/2015,$19295.49,a odio in hac habitasse platea dictumst maecenas ut massa quis augue
hub,3/17/2016,$38796.59,sed sagittis nam congue risus semper porta volutpat quam pede
support,9/20/2015,$50392.52,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
internet solution,10/15/2015,$70323.96,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
Proactive,4/22/2016,$34266.75,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
Compatible,10/12/2015,$39450.90,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
emulation,12/10/2015,$52725.38,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
standardization,4/15/2016,$36488.86,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
attitude,5/27/2016,$55005.50,proin eu mi nulla ac enim in tempor turpis nec euismod
leading edge,11/9/2015,$69799.52,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
budgetary management,3/14/2016,$9559.40,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
Upgradable,5/3/2016,$81639.76,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
open architecture,2/26/2016,$37514.36,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
logistical,10/29/2015,$62588.14,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
holistic,4/24/2016,$51424.46,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
Centralized,4/29/2016,$33327.20,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
internet solution,2/22/2016,$45482.64,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi
client-server,3/24/2016,$28311.43,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
Innovative,9/1/2016,$46890.27,ultrices mattis odio donec vitae nisi nam ultrices libero non
methodology,1/27/2016,$29091.09,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
collaboration,1/30/2016,$49811.71,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
Devolved,9/18/2015,$56153.65,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
background,10/14/2015,$46894.80,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
function,1/25/2016,$54944.68,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
Ergonomic,9/21/2015,$97063.00,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in
5th generation,7/8/2016,$65936.00,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
collaboration,11/3/2015,$27799.12,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor
Optional,8/6/2016,$24389.65,convallis morbi odio odio elementum eu interdum eu tincidunt in
impactful,10/15/2015,$20292.37,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
Virtual,11/3/2015,$75585.05,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
encoding,12/24/2015,$83537.40,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
tangible,1/8/2016,$31013.04,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
synergy,9/30/2015,$29252.10,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
protocol,8/19/2016,$91204.80,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
time-frame,6/28/2016,$15080.71,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
artificial intelligence,9/3/2016,$16640.54,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
Configurable,1/1/2016,$3301.70,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
3rd generation,1/26/2016,$86481.43,nulla dapibus dolor vel est donec odio justo sollicitudin ut
Total,12/22/2015,$14174.15,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
radical,2/8/2016,$5634.04,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
capability,1/27/2016,$96046.74,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
emulation,7/10/2016,$98596.23,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
artificial intelligence,10/12/2015,$26760.79,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
algorithm,2/18/2016,$80053.34,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus
core,2/21/2016,$71063.07,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
projection,12/11/2015,$13804.79,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
multi-state,9/9/2016,$85249.66,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia
protocol,11/25/2015,$93173.26,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
infrastructure,7/12/2016,$359.43,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim
mobile,12/7/2015,$75894.00,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
Graphical User Interface,8/10/2016,$55324.56,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
Reactive,9/30/2015,$16788.74,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
Pre-emptive,1/23/2016,$10975.49,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
Networked,1/24/2016,$67510.43,sit amet eleifend pede libero quis orci nullam molestie nibh in
database,10/21/2015,$92987.77,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
Right-sized,5/21/2016,$2729.96,in lectus pellentesque at nulla suspendisse potenti cras in purus
local,6/7/2016,$39238.02,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
attitude,5/10/2016,$49885.59,suspendisse ornare consequat lectus in est risus auctor sed tristique in
portal,2/17/2016,$41223.67,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi
hub,1/6/2016,$5746.23,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
conglomeration,7/9/2016,$17557.36,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
Extended,6/22/2016,$48385.25,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
leading edge,11/20/2015,$86907.29,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
customer loyalty,11/4/2015,$3964.39,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
content-based,4/4/2016,$63778.56,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
Progressive,9/5/2016,$25658.36,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
service-desk,2/6/2016,$75319.94,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
Face to face,11/28/2015,$12495.47,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
24/7,7/23/2016,$62868.91,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
methodology,11/10/2015,$69142.77,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
customer loyalty,9/14/2015,$34397.61,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
attitude,6/23/2016,$23264.23,vulputate luctus cum sociis natoque penatibus et magnis dis parturient
eco-centric,12/13/2015,$78469.86,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
system engine,3/19/2016,$13390.05,donec dapibus duis at velit eu est congue elementum in
well-modulated,11/28/2015,$86284.99,mauris morbi non lectus aliquam sit amet diam in magna bibendum
Organized,2/8/2016,$16720.47,morbi non quam nec dui luctus rutrum nulla tellus in
impactful,7/26/2016,$61981.85,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
access,7/26/2016,$57627.70,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
Optional,6/23/2016,$57418.12,tincidunt eu felis fusce posuere felis sed lacus morbi sem
clear-thinking,6/3/2016,$59815.67,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
Phased,12/16/2015,$29750.77,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
local area network,10/8/2015,$5392.19,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
Organic,8/28/2016,$70981.20,nunc donec quis orci eget orci vehicula condimentum curabitur in
User-friendly,10/2/2015,$21306.33,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
Business-focused,6/17/2016,$64191.41,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
analyzing,7/11/2016,$75036.36,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
matrices,8/25/2016,$64934.97,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
Exclusive,7/29/2016,$11041.47,viverra eget congue eget semper rutrum nulla nunc purus phasellus in
open architecture,4/18/2016,$23604.56,ligula nec sem duis aliquam convallis nunc proin at turpis a
User-centric,7/14/2016,$84272.71,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
product,7/26/2016,$81876.49,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
foreground,7/7/2016,$31030.50,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
maximized,9/27/2015,$36357.84,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
Organic,2/13/2016,$83622.60,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
