medium,transaction_date,amount,description
intangible,5/23/2016,$4.47,fusce congue diam id ornare imperdiet sapien urna pretium nisl
User-friendly,11/25/2015,$5.15,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
extranet,3/27/2016,$1.79,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in
asynchronous,6/10/2016,$2.42,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
Future-proofed,6/15/2016,$3.62,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis
Re-engineered,8/23/2016,$8.73,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
static,1/12/2016,$0.02,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
encompassing,12/29/2015,$5.78,at turpis donec posuere metus vitae ipsum aliquam non mauris
Open-architected,8/7/2016,$0.19,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
help-desk,6/15/2016,$5.31,pede libero quis orci nullam molestie nibh in lectus pellentesque
real-time,11/23/2015,$2.87,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
application,3/22/2016,$3.96,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
utilisation,3/10/2016,$6.82,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
Object-based,11/24/2015,$9.21,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
radical,2/10/2016,$4.90,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
directional,8/27/2016,$0.77,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
project,9/12/2015,$9.05,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
even-keeled,7/23/2016,$9.15,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
capability,5/2/2016,$9.72,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
Operative,1/23/2016,$6.09,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
executive,8/2/2016,$8.43,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
Public-key,7/15/2016,$5.99,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
explicit,9/21/2015,$3.09,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat
Multi-tiered,2/19/2016,$2.76,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
Devolved,9/9/2016,$8.25,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
moratorium,9/28/2015,$8.73,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
Sharable,12/26/2015,$3.59,in tempus sit amet sem fusce consequat nulla nisl nunc
framework,8/31/2016,$8.90,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
Total,4/5/2016,$2.99,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
groupware,7/21/2016,$5.23,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
De-engineered,10/26/2015,$6.27,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
throughput,2/22/2016,$1.19,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
architecture,11/15/2015,$7.32,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
Ergonomic,10/20/2015,$1.48,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
toolset,2/19/2016,$3.88,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
dynamic,3/30/2016,$5.78,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
De-engineered,7/28/2016,$0.11,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
didactic,3/25/2016,$2.40,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
Reduced,4/23/2016,$2.06,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
Networked,9/5/2016,$5.89,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
function,2/7/2016,$1.45,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
Assimilated,10/23/2015,$0.87,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
benchmark,6/8/2016,$9.47,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet
holistic,7/26/2016,$4.74,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
Extended,9/3/2016,$6.44,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis
forecast,7/25/2016,$5.20,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
bandwidth-monitored,10/21/2015,$8.87,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
Streamlined,4/8/2016,$0.79,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
Fully-configurable,7/2/2016,$4.65,volutpat dui maecenas tristique est et tempus semper est quam
empowering,10/8/2015,$7.28,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
Visionary,4/12/2016,$2.06,ante nulla justo aliquam quis turpis eget elit sodales scelerisque
leading edge,10/8/2015,$8.19,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
Synergized,5/19/2016,$0.87,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
optimizing,2/16/2016,$4.48,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
portal,10/26/2015,$9.50,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
Multi-tiered,11/15/2015,$5.97,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
policy,2/21/2016,$5.57,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
needs-based,9/18/2015,$4.39,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
Open-source,10/28/2015,$7.56,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
software,8/31/2016,$0.45,congue eget semper rutrum nulla nunc purus phasellus in felis
framework,3/24/2016,$9.51,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
6th generation,6/9/2016,$0.48,in porttitor pede justo eu massa donec dapibus duis at velit eu est
installation,9/13/2015,$1.76,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
contingency,10/7/2015,$0.74,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
analyzing,10/5/2015,$8.86,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem
implementation,5/12/2016,$6.80,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
Triple-buffered,9/28/2015,$6.89,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus
protocol,10/18/2015,$2.29,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus
help-desk,3/21/2016,$6.12,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
application,6/3/2016,$3.35,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
Open-source,12/15/2015,$1.25,a nibh in quis justo maecenas rhoncus aliquam lacus morbi
full-range,3/14/2016,$5.86,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
Reduced,10/13/2015,$3.22,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
Enterprise-wide,7/5/2016,$9.27,et tempus semper est quam pharetra magna ac consequat metus
holistic,4/18/2016,$2.82,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
eco-centric,12/26/2015,$7.22,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus
zero administration,2/1/2016,$5.94,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
Reverse-engineered,8/27/2016,$8.45,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
Reverse-engineered,1/31/2016,$1.58,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
leverage,5/17/2016,$6.43,proin at turpis a pede posuere nonummy integer non velit donec diam neque
parallelism,7/3/2016,$5.36,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat
Operative,10/15/2015,$0.51,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis
forecast,10/7/2015,$7.21,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
circuit,7/1/2016,$1.93,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
national,9/5/2016,$2.82,ut mauris eget massa tempor convallis nulla neque libero convallis
Reduced,2/20/2016,$1.47,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
impactful,5/5/2016,$1.70,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
upward-trending,6/16/2016,$2.49,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
coherent,1/3/2016,$3.26,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
success,11/20/2015,$2.57,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
Ergonomic,10/11/2015,$7.79,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
hybrid,10/28/2015,$5.89,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
collaboration,6/13/2016,$6.94,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat
empowering,8/15/2016,$3.11,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
disintermediate,10/19/2015,$2.26,ut at dolor quis odio consequat varius integer ac leo pellentesque
Balanced,4/27/2016,$2.29,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
background,8/24/2016,$9.02,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
Future-proofed,5/3/2016,$6.96,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
Upgradable,5/27/2016,$4.21,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
value-added,2/2/2016,$5.10,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
Intuitive,2/1/2016,$7.84,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
bifurcated,12/22/2015,$9.00,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
Optimized,7/22/2016,$0.94,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
pricing structure,7/2/2016,$4.40,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
next generation,9/12/2015,$1.66,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
extranet,9/20/2015,$7.52,ut nulla sed accumsan felis ut at dolor quis odio
Synergized,9/28/2015,$0.41,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
support,9/9/2016,$4.70,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
motivating,8/31/2016,$8.99,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
emulation,6/24/2016,$7.05,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
neural-net,7/10/2016,$4.80,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
secondary,3/17/2016,$6.65,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
firmware,9/3/2016,$9.95,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
Customer-focused,7/28/2016,$6.68,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
Customer-focused,9/22/2015,$4.81,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
coherent,5/22/2016,$3.07,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
national,11/22/2015,$0.37,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
forecast,12/29/2015,$8.74,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
Synchronised,5/14/2016,$9.44,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
access,3/8/2016,$6.47,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
matrix,12/15/2015,$3.48,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante
upward-trending,10/4/2015,$0.53,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
Progressive,3/6/2016,$2.14,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
Grass-roots,12/28/2015,$8.23,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
