merchant_id,medium,purchase_date,amount,description
47-980-0880,access,4/24/2016,$64852.49,posuere cubilia curae nulla dapibus dolor vel est donec odio justo
52-266-9535,productivity,3/22/2016,$81604.11,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus
10-869-4455,open system,4/11/2016,$71653.90,et ultrices posuere cubilia curae nulla dapibus dolor vel est
04-126-4471,actuating,2/2/2016,$6873.80,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
60-661-8311,implementation,12/12/2015,$68546.54,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices
87-244-1580,solution-oriented,10/30/2015,$62161.77,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque
18-263-3267,conglomeration,7/17/2016,$86542.02,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
64-692-9831,access,1/19/2016,$48856.54,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
18-041-7936,Persevering,9/17/2015,$53797.80,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit
28-971-0700,Monitored,1/24/2016,$11610.17,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
71-220-4833,optimal,1/21/2016,$66850.18,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
56-464-1584,software,7/26/2016,$65573.95,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo
30-509-7420,Customer-focused,8/19/2016,$7087.80,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea
17-162-4371,firmware,2/6/2016,$33537.16,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
48-978-3620,uniform,9/23/2015,$15688.99,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
92-604-7321,uniform,12/25/2015,$18695.54,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent
14-029-9942,impactful,3/25/2016,$36641.40,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
31-197-3061,moratorium,1/18/2016,$21533.94,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
74-049-9185,multi-tasking,2/17/2016,$85466.35,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi
73-600-0795,data-warehouse,5/17/2016,$30978.68,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
74-847-8067,asynchronous,1/29/2016,$32609.65,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
68-753-4486,demand-driven,2/25/2016,$6198.02,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
61-905-3300,local,9/13/2015,$19354.72,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
01-149-5720,Upgradable,9/14/2015,$37948.15,ut mauris eget massa tempor convallis nulla neque libero convallis
10-596-9533,Cross-group,3/19/2016,$18893.97,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac
76-195-6587,Pre-emptive,9/30/2015,$22115.49,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem
55-565-5126,contextually-based,3/26/2016,$45551.69,ligula vehicula consequat morbi a ipsum integer a nibh in quis
82-833-7564,Expanded,9/24/2015,$57137.61,platea dictumst morbi vestibulum velit id pretium iaculis diam erat
11-465-0820,encoding,11/27/2015,$56483.33,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
60-733-1716,approach,11/21/2015,$57800.46,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet
79-015-1226,infrastructure,4/9/2016,$53386.25,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
09-094-2768,demand-driven,9/21/2015,$6983.55,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
52-918-6278,moderator,12/22/2015,$51782.92,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
47-481-4138,Secured,8/16/2016,$19317.27,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
73-535-1824,interactive,8/13/2016,$37437.80,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
62-876-1872,Face to face,3/13/2016,$74365.23,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis
15-095-6681,collaboration,10/30/2015,$25527.64,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
04-064-1836,Team-oriented,12/14/2015,$99871.91,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
50-593-3119,knowledge base,1/10/2016,$35134.36,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
70-534-5789,parallelism,9/5/2016,$31459.26,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
08-420-5498,Profit-focused,2/3/2016,$79661.08,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
85-026-1589,function,2/28/2016,$9562.98,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed
87-882-7630,Down-sized,9/6/2016,$43712.97,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
53-786-2953,Right-sized,12/16/2015,$42871.68,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
60-565-0038,Polarised,3/10/2016,$6809.77,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
71-123-7355,Enterprise-wide,10/12/2015,$30062.18,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
77-297-2913,Reactive,10/1/2015,$57957.93,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
30-763-5749,product,9/18/2015,$13408.19,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
11-981-7417,frame,8/18/2016,$65292.15,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
05-472-6162,Graphic Interface,10/6/2015,$62210.71,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
01-513-5670,Sharable,8/18/2016,$75631.93,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam
88-225-4532,flexibility,4/20/2016,$47392.51,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
55-913-9339,Synergistic,11/5/2015,$71655.39,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
40-797-7217,extranet,1/27/2016,$92456.77,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque
61-829-8825,coherent,9/22/2015,$23740.16,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
88-473-9219,well-modulated,11/25/2015,$95547.41,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
33-955-4531,intranet,3/11/2016,$81683.87,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien
